tweet_id,created_at,text,user_screen_name,label,english_translation
guj011,2023-05-27 10:57:41+00:00,@username ખૂબ ખર્ચો કરી સંસદ ભવન બનાવ્યું કાઈ વાંધો નથી પણ એની અંદર સ્કૂલ અને કોલેજ બનાવવી જરૂરી છે કારણ કે એમાં મોટા ભાગના અભણ ગધેડા પણ છે એને ભણાવી શકાય 😊 #myparilamentmypride,GaganThapaliya,HOF,@username It doesn't matter if you spent a lot of money to build the parliament building but it is necessary to build a school and college inside it because most of them are illiterate donkeys who can be educated 😊 #myparilamentmypride
guj012,2023-05-23 18:32:28+00:00,"@username ગુજરાત ની દલાલ મીડિયા પાસે એટલો પાવર છે કે જો તે ધારે તો પેપર કાંડ, દમી કાંડ, બોગસ ડિગ્રી કાંડ કરવા વારા અને સાથ દેવા વારા તમામ નાલાયક લોકોને સજા કરવી સકે 
પણ આ ગુજરાતની દલાલ મીડિયા દલાલી કરવાનું બંધ કરે તો આવું થાય",sureshn25559831,NOT,"@username Gujarat's broker media has so much power that if it assumes the paper scandal, dami scandal, bogus degree scandal and to be punished all the worthless people, but if this Gujarat broker media stops brokerage, this happens."
guj013,2023-05-19 06:46:15+00:00,"@username @username આ હું તો બોલીશ વાળા રોનક પટેલ રાત્રે ૮ વાગ્યે ભાજપના પ્રવકતા વિરુદ્ધ બૂમબરાડા પાડે છે. 
કાર્યક્રમ પુરો થયો નાથી કે તુરંત બહાર જઈ, આ જ ભાજપના પ્રવકતા સાથે ચાય ની ચૂસ્કી મારે છે.

આ દલાલ,લોકોને મૂર્ખ બનાવવાનો ધંધો કરે છે....",Amru1967,NOT,"@username @username.The program is not completed or went out immediately, this same BJP spokesman sucks tea. The broker, is the business of fooling people ...."
guj014,2023-05-22 15:22:12+00:00,"@username સાહેબ આ @username 
@username ને એ હદે નફરત કરે છે કે કોઈ  @username નો કાળો ચોર પણ સંડાસ જતો ફોટો પોસ્ટ કરે તો આ ભાઈ તેના પણ ગુણ ગાન કરવા લાગે!
અને ખુલ્લા માં સંડાસ જવાના, સ્વચ્છતા નાં,
સહજતા નાં,
ના સાંભળ્યા તેવા તર્ક આપશે અને ભક્તોને અનુકરણ કરવા જણાવશે!
પણ પોતે નહીં કરે!",DhirendrasinghU,HOF,"@username sir hates this @username @username to the extent that if a black thief of @username posts a photo of him going to the bathroom, this brother starts singing his praises too!He will give the logic that he heard and tell the devotees to imitate! But he will not do it himself!"
guj015,2023-05-24 07:03:09+00:00,"ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે સીધાં જવાબ આપતા નથી નવાં છે એ પૈસા માંરી ખાવામાં છે યંગર પર્ષન",PinalPa10542589,NOT,The employees of the municipality in Jambusar taluka in Bharuch district in Gujarat are a thief.
guj016,2023-05-27 16:36:33+00:00,"@username મયંક તારા બાપ ને કહી ને આ બધા લોકોને પાસ કરાવી દે 
નવરી પનોતી કિયા થી હાલી યા આવે છે ટ્વીટર  માં કાય સમજાતું નથી
પનોતી જેટલા પરીક્ષા દિયે તેટલા બધા સ્ટુડન્ટ્સ પાસ થોડા થાય
જો એટલી જ ઉપાડી થાય છે ગુજરાતના લોકોની તો તું ને તારો બાપ ભેગા થઈ ને આ લોકોને ક્લાસ ચાલુ કરાવીને પાસ કરાવ",sureshn25559831,NOT,"@username Mayank tell your father to make all these people pass. Navri Panoti is coming from Kiya. I don't understand what is happening on Twitter. As many students as Panoti pass the exam, only a few pass. People of Gujarat, you and your father get together.Let these people pass the class by starting it"
guj017,2023-05-19 00:04:55+00:00,@username @username તું ચોર છે લૂખા,Mgadhiya2,HOF,@username @username You are a thief
guj018,2023-05-25 17:15:31+00:00,"@username @username તારી પાસે ઓસ્ટ્રેલિયા ના ઑફિસિયલ ન્યુઝ છે ? જો સાચો વિરોધી હોય મોદી જી નો તો ઓસ્ટ્રેલિયન સરકાર ના ઓફિશિયલ ન્યુઝ બતાવ. 

ટોપા આવી જ જાય હંગ્યા વગર મોદી જી નો વિરોધ કરવા જોયા ને જાણ્યા વગર.",chattansinh,NOT,"@username @username do you have Australia's official news?If Modi is a true opponent, show the official news of the Australian government.Topa would come without knowing that Modi was opposed to the ji without knowing."
guj019,2023-05-28 03:32:32+00:00,@username @username @username @username લન્ડ મારો ફોલો કરવા આખી દુનિયા કરે છે લોડા એ પૈસા દઈને કરાવે છે એ પણ તારી જેમ નપુંસનક છે લોડા,PaunMahesh,HOF,@username @username @username @username Lund the whole world is following me Loda is doing it by giving money also impotent like you Loda
guj020,2023-05-20 08:04:04+00:00,"@username ગુજરાતી માં લખ ને ટોપા, હિન્દી માં લખી ને ક્યાં જાવું તારે.",louv_day,HOF,"@username write in Gujarati and write in Topa, Hindi and where to go."
guj021,2023-05-26 11:26:31+00:00,"@username મૂર્ખ ભર્યો સવાલ ...
આવો પોલ થવો જ ના જોઈએ
ભારત દેશ ના પહેલા નાગરિક તરીકે સંવિધાન ના સર્વોચ પદ પર બિરાજમાન ..
🇮🇳 ત્રણ પાંખ ના સેનાનાવડા...
માહામહિમ હસ્તે થવો જવો ,એમા આટલો બધો હંગામો શા માટે..⁉️😇
સંસદ= લોકસભા + રાજ્યસભા+ રાષ્ટ્રપતિ
#संसद_भवन",VipulPatel3002,NOT,"@username Stupid question...Such a poll should not be held as the first citizen of India sitting on the highest position of the constitution..🇮🇳 three wing army Navada...should be done by His Majesty, why so much commotion..⁉️😇Parliament = Lok Sabha + Rajya Sabha + President#Parliament_Building"
guj022,2023-05-26 06:40:06+00:00,"દેવડી એ દંડ પામે ચોર મૂઠી ઝારના

લાખ હૂંડી લૂંટનારા મહેફિલે મંડાય છે,

😌 @url",PrajapatiHaree,HOF,"Deodi is a penalty of thieves, robbery of thief, @url"
guj023,2023-05-20 05:40:08+00:00,@username ઇમા રેલવે ના  પાટા પર જઈને પંચાત કરવાની ક્યાં જરૂર હતી?😂😂,DhavalS16030050,NOT,Where did the @username go to the railway tracks and panchayat?
guj024,2023-05-26 15:07:14+00:00,"@username મોદી ની રેલી નથી, બેવકૂફ ની ભીડ છે",RajatThakor1278,HOF,"@username is not a rally of Modi, there is a crowd of idiots"
guj025,2023-05-20 02:50:53+00:00,@username ચોર નેતાઓ કરતા તો લાખ ગરજે સારા સારા અને સારા,Ambaris2131,HOF,@username Thieves are better and better than leaders
guj026,2023-03-26 06:56:30+00:00,"ગુજરાત પોલીસ સ્ટેડિયમમાં ચાના કપ પર લખેલું છે, હું પણ ચોકીદાર છું, આ આખો વહીવટ સરમુખત્યારશાહીના ઈશારે ચાલે છે, હવે આખો દેશ જાણી ગયો છે કે #ચોકીદાર_ચોર_છે!

@username 
#GujaratCongress @url",Chandanjit11,HOF,"Gujarat Police Stadium is written on a cup of tea, I am also a watchman, this whole administration runs at the behest of the dictatorship, now the whole country knows that #watchman_cor_ is!"
guj027,2023-05-20 01:43:42+00:00,@username ઢોંગી બાબા માઈન્ડ રીડિંગ નો ઉપયોગ કરી લોકો ને બેવકૂફ બનાવે છે,AshokCh25905849,HOF,@username is fooling people using hypocritical Baba Mind Reading
guj028,2023-05-22 08:29:03+00:00,"@username @username @username ......કોણ ટ્વીટર વાપરશે , ને કોણ નય,એની પંચાત તમુ મેલી દ્યોને ભા. આ બાબો નિરાલો અનંતકાળ હુધી અમારી પાહે પેલાવાનો છે.",Acpittalwala,HOF,"@username @username @username ...... Who will use Twitter, and who is new, his panchayat tamu meli dao.These Babo Niralo is the eternal time of us."
guj029,2023-05-22 09:15:58+00:00,@username @username કોઈ વાત ની ખબર જ નથી તો કેમ પંચાત કરો છો.. પેહલા જાણી લો..પછી આવો બચાવ કરવા..,CHIRAGPARMAR82,NOT,"@username @username if you do not know anything, why do you do it."
guj030,2023-03-26 08:15:39+00:00,"જમનાપ્રસાદ, એક કંગાળ, તેના પિતાની ઇચ્છા પૂરી કરીને, તેના માતાપિતાને સફળતાપૂર્વક તીર્થયાત્રા પર મોકલે છે. પરંતુ જ્યારે કુદરતી આફતને કારણે પરિવારના સભ્યો સંપર્ક ગુમાવે છે ત્યારે શું થાય છે?
ટ્રેલર ચાલુ જુઓ #TrailerBabu
#KanjoosMakhichoos #KunalKemmu #ZEE5Original #newtrailer",mrshivam_9,NOT,"Jamanaprasad, a miser, successfully sends his parents on a pilgrimage, fulfilling his father's wish.But what happens when family members lose touch due to a natural calamity? Watch Trailer Continue #TrailerBabu#KanjoosMakhichoos #KunalKemmu #ZEE5Original #newtrailer"
guj031,2023-05-22 18:10:03+00:00,@username @username તમારૂં કહેવાનું  બરાબર છે પણ ગુજરાત રાજ્ય સરકાર ભૂમાફિયા સાથે છે  અમે  કોઈ પણ રાજનીતિક પાર્ટી ગુલામ નહિ અમે અમારી મૂળ ખેતી ની જમીન માટે જે લડાઈ લડી રહ્યા છે રાજ્યસરકાર ભૂમાફિયા ની પાર્ટી છે એટલે કેન્દ્રસરકાર એટલે નરેન્દ્ર મોદી જી જાણ કરવી પડે છે ગુજરાત રાજ્યસરકાર ચોર છે,Ravindr67822142,HOF,@username @username your saying is right but gujarat state govt is with bhumafia we are not slaves of any political party we are fighting for our original agricultural land state govt is party of bhumafia so central govt means narendra modi ji have to report gujaratThe state government is a thief
guj032,2023-05-24 10:04:59+00:00,@username @username @username ગુજરાત માં લોકો ની સુવિધા વધવા ને બદલે ઘટી રહી છે ભાજપ ના રાજ માં..સુરત થી અંક્લેશ્વર આવવા માટે સવારે 5:30 ની ગુજરાત ક્વીન પછી સીધી 8:30 વલસાડ ઇન્ટરસિટી વચ્ચે કોઈ ટ્રેન છે જ નહિ ..આવો સાવ ગાંડો વિકાસ ગુજરાત ની જનતા નો છે.ડૂબી મારવા જેવી હાલત. @url,Jitendra1682,HOF,@username @username @username The convenience of people in Gujarat is decreasing instead of increasing under BJP rule.. There is no train between Surat to Ankleshwar after 5:30am Gujarat Queen directly 8:30am Valsad Intercity..Such a crazy development of the people of Gujarat. The condition is like drowning.@url
guj033,2023-03-25 15:44:10+00:00,@username બધાય મોદી ચોર છે.... એવું આમાં સ્પષ્ટ દેખાય છે.....,Yogiraajpatel,HOF,@username is all Modi thief .... it is clear in this .....
guj034,2023-05-23 13:24:57+00:00,@username @username @username @username @username @username @username @username @username @username @username મૂર્ખ તો તારા જેવા ❤️ ડા છે 🤣🤣,Jalebi_261190,HOF,@username @username @username @username @username @username @username @username @username @username fool
guj035,2023-05-26 10:43:31+00:00,"Title  :- કાનુડા ને કેજો એક વાર ગોકુળીયા માં આવે 
 Singer :  શૈલેષ મહારાજ 
Place  : લાંબા બંદર [ દ્વારકા ]  

@url 

🌺આપણી  આ 2 ચેનલને સબ્સ્ક્રાઇબ કરો / લાઇક કરો /શેર કરો 👍  @url @url @url",Ramdas_Gondalia,NOT,Title:- Kanunda Caja once in Gokulia Singer: Shailesh Maharaj PLace: Long Port [Dwarka] @url 🌺 Subscribe to this 2 channel / Like / Share @url @url @url
guj036,2023-03-26 08:44:18+00:00,"@username @username @username @username @username ગરીબનગર ચાર રસ્તાથી રખિયાલ પોલીસ સ્ટેશન સુધીના રોડના ડિવાઇડર પર રોજ સવાર કચરો ફેંકવામાં આવે છે 

AMC એ નોટિસ લટકાવી છે તો પણ",GujaratiKirti,NOT,@username @username @username @username @username Garbage is thrown every morning on the road divider from Garibnagar Char Road to Rakhiyal Police Station even though AMC has posted a notice.
guj037,2023-05-27 10:15:00+00:00,"દારૂડિયાને ચોર સમજીને મારવાનું ભારે પડી ગયું

#mumbai #mumbainews #borivali #watchmen #arrested #gujarati #foe #beating #drunkard #drunk #guajratimidday #middaynews #newsupdate #latestnews #beat 

@url",middaygujarati,NOT,The drunkard is overwhelmed by the thief #Mumbai #Mumbainews #Borivali #watchmen #Arested #Gujarati #Foe #beating #drunkard #drunk #midddaynews #newsupdate #latestnews #beat @url
guj038,2023-05-20 03:41:38+00:00,"દુષ્ટ, મૂર્ખ અને માર્ગેથી ભટકી ગયેલાને સમજાવવું ઘણું કપરું છે.",anrupani,NOT,"It is very difficult to explain to those who have wandered by evil, stupid, and ways."
guj039,2023-03-26 04:04:32+00:00,"રવિવાર એટલે ભંગાર વેચવાનો દિવસ 

ખાલી તેલ ના ડબ્બા આપવાના😝",kartik_k007,NOT,Sunday is the day to sell scraps and give away empty oil cans
guj040,2023-05-28 07:22:44+00:00,"@username ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે ગ્રાન્ડ પાસ થાય છે વર્ષો થી કોઈ પણ કામકાજ નંથી થતાં રૂપિયા ક્યાં જાય છે ઈકવાઈરી બેસાળો નગરપાલિકા ના કર્મચારીઓ ઉપર",PinalPa10542589,HOF,@username Municipal employees in Jambusar taluka in Bharuch district in Gujarat are work thieves. Grand passes are made. No work has been done for years. Where is the money going?
guj041,2023-05-19 14:29:20+00:00,@username @username નવરી બજાર,ankitnp,HOF,@username @username Navri Bazar
guj042,2023-05-22 18:00:08+00:00,"બંને બુકાનીધારી ચોર ખાલી હાથે ભાગી છૂટ્યા

#Surat #Gujarat #Police 

@url",sandeshnews,NOT,Both booked thieves escaped empty #surat #gujarat #police @url
guj043,2023-05-25 12:08:50+00:00,ટોટી ચોર @url,DhairyaMakwana7,HOF,cock thief @url
guj044,2023-05-28 03:47:52+00:00,@username @username @username આને મુકો આ નવરી બજાર છે. આઇટી સેલ વાળો ટ્રોલ છે.,ManishD66520134,HOF,@username @username @username This is the Navari Bazaar.There is a troll with an IT cell.
guj045,2023-05-26 12:33:36+00:00,"@username @username @username @username સાચી વાત કરી
ગાંડો ગુજરાતી કેવુ લાગે?",bhupenNS,NOT,@username @username @username @username Speak the truth How does Gujarati feel?
guj046,2023-05-28 06:43:14+00:00,@username તમે આવા મૂર્ખ છો. મોદીજીને નફરત કરતી વખતે તમે લોકો તેમની સાથે જોડાયેલી દરેક વસ્તુનો વિરોધ કરવા માંડો છો.,TrishRPM,NOT,"@username you are such a stupid.When you hate Modi, you people start to oppose everything connected with them."
guj047,2023-05-21 11:58:40+00:00,"@username નીચે માણસ હલારમી માણસ 
મહા ચોર 

રાક્ષસ ILLUMINATI members @url",therealitymuted,HOF,@username BELOW MAN HULARMI MAN GREAT THIEF MONSTER ILLUMINATI MEMBERS @url
guj048,2023-05-26 04:25:54+00:00,@username એ પોતે પણ ગાંડો છે અને ત્યાં જવા વાળા પણ ગાંડા છે અને બંને એકબીજાઓ ને જોઈને હશે છે એમાં નવું કઈ નથી.... એમાં પણ નેશનલ ન્યુઝ વાળા પણ આ ગાંડા ને જ બતાવ્યા કરે છે. 😂😂,Akshaysutariya1,HOF,"@username is also mad and is crazy about going there, and both of them are looking at each other, there is nothing new ...3"
guj049,2023-05-28 09:45:33+00:00,"વધારે પડતાં લાગણીશીલ ન બનતા 
આજના જમાના માં લાગણીશીલ વ્યક્તિ ને મૂર્ખ ગણવામાં આવે છે ..!!💯
#સત્યહકિકત",Dhanraj36948072,NOT,"In today's age, the emotional person is considered as stupid .. !!"
guj050,2023-05-19 15:57:28+00:00,"ચોર અને અભણ નેતા ઓના બાપ નોટો છાપવા નો ખર્ચ નથી ઉઠાવતા દેશ ની જનતા પર બોજો પડે છે, આવી અભણ સરકાર ને ભગાવો દેશ બચાવો @url",SaeedPa66801197,HOF,"Fathers of thieves and illiterate leaders do not bear the cost of printing notes, the burden falls on the people of the country, drive away such an illiterate government, save the country @url"
guj051,2023-05-26 10:33:28+00:00,@username હવે લોકો એ બકવાસ સાંભળવા ની અને વાંચવા ની બંધ કરી દિધી છે એટલે વધુ જવાબ નહીં આવશે.,goswamiamit009,NOT,@username now people have stopped listening to the nonsense and stop reading so there will be no answer.
guj052,2023-05-26 10:10:48+00:00,"પારકી પંચાત : બાબા બાગેશ્વરનો કાર્યક્રમ કોણે કર્યો હાઈજેક? નેતા હોય કે જનતા કાયદો કરે કાયદાનું કામ!; મંથન બેઠક કરી પાટીલે નેતાઓનો જબરો ક્લાસ લઈ લીધો
#Gujarat | #BageshwarBaba | #ParkiPanchat
@url",Divya_Bhaskar,NOT,"Parki Panchaat: Who Hijacked Baba Bageshwar's Program?Be it the leader or the people, let the law work!;After a brainstorming session, Patil took a hard class of leaders #Gujarat |#BageshwarBaba |#ParkiPanchat@url"
guj053,2023-05-27 17:37:55+00:00,@username @username હલકો,chetansumera33,HOF,@username @username lightweight
guj054,2023-05-21 16:14:51+00:00,@username હજી અહમદાવાદ માં વિકાસ ફરે છે બાપુ 🙏અમારા છોટાઉદેપુર ના ગામડા માં તો વિકાસ થઈ ગાંડો થઈ ગયો છે આપણી સરકાર બાપુ કોઈ દિવસ જાજો જોવા ત્યાં છોટાઉદેપુર થી અલીરાજપુર બાજુ વડોદરા થી છોટાઉદેપુર વિકાસ રોડે ચડ્યો છે બાપુ 🙏🙏🙏,Nilesh35111879,NOT,@username is still going to develop in Ahmedabad.
guj055,2023-05-19 15:59:27+00:00,@username સરકાર ચોર અને રિઝર્વ બેંક સરકાર ની ચમચા એટલે દેશ ને બર્બાદ,SaeedPa66801197,NOT,@username The government is a thief and the Reserve Bank is a spoon of the government means the country is ruined
guj056,2023-05-28 05:37:08+00:00,@username સૂરજ ભડવો ભો####,veer_kathi,HOF,@username Suraj Bhadvo Bho####
guj057,2023-03-26 01:27:44+00:00,"@username @username MLA બનવા માં તો જમાનત જપ્ત થઈ ગઈ, અને હાલી નીકળ્યો છે મોદીજી અને ગુજરાતીઓ ને ચોર કેહવા. 
આવું જ કરશો તો એકદિવસ લોકો આને મારીમારી ને ગુજરાત માંથી બહાર કાઢશે.",wish4u23,NOT,"@username @username MLA has been confiscated, and now Modi and Gujarat are thieves.If you do this, one day people will kill this and get it out of Gujarat."
guj058,2023-05-19 16:39:50+00:00,@username ITI કરેલો ડોબો,jshah1071,HOF,@username ITI done dobo
guj059,2023-05-26 08:27:42+00:00,"@username @username એમ તો કાયમ જ પેલા સ્વામિનારાયણ વાળા નવો પંથ લાવી ને નવા નવા પ્રોગ્રામ કરી ને ગુજરાતી ઓ ને બેવકૂફ બનાવતા જ રહે છે, હવે આ જુવાનિયા ને લોન્ચ કરવામાં આવ્યા છે. 
24 ની ચૂંટણી સુધી નો ખેલ છે.",SUVAAS1,NOT,"@username @username, forever, by bringing a new cult with Swaminarayan and performing new programs, it has been stupid, now this youth has been launched.There is a game till 24 elections."
guj060,2023-05-27 09:21:54+00:00,@username આ પણ દેખાડ બે કોડી ના વહેંચાયેલા દલાલ. @url,KartikJ00342188,HOF,@username this is also a shared broker of two cod.@url
guj061,2023-05-27 05:24:08+00:00,"મુજે લગા થાકી આધી દુનિયા ખત્મ હો જાયેગી,તો બચી હુઈ દુનિયા ખૂબ તરક્કી કરેગી. લેકિન ઇન્સાન અપને બિતે હુએ કલ કો જખ્મ કી તરહ ચાટતા હે,ઔર જબ તક એ બેવકૂફ લોગ બીતે હુએ કલ કો ભુલા નહિ શકતે એ કભી અપને આને વાલે કલ કો અપના નહિ શકતે.- Thanos (Marvel Cinematic Universe)",chaudhary_kamu,NOT,"If you are tired of the world, then the survivors are very shattered.But I could not forget that he could not forget the foolish log bite ko ko ko ka kal ko ko ko ko ko ko ka ka ko ko ko ko ko ka ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko"
guj062,2023-05-27 09:54:13+00:00,"@username ગજબ ચૂતિયા લગ રહે હોં ગુરુ
@username @username @username @url",Sensual_Sanju,HOF,@USERNAME GUARD WHO LAGH HO GUNG GUNT @USERNAME @username @url
guj063,2023-05-26 04:28:51+00:00,"ગધેડાં ને ગધેડા કહેવા માં સુ વાંધો 
આખી દુનિયા આપને ગાંડા ગણે છે . એમાં લાગણી નાં દુભાય.
એતો ખુશી નિ વાત છે @url",KajiNarendra,HOF,The whole world considers you crazy to call donkeys and donkeys.It does not feel like feeling.
guj064,2023-05-25 10:28:29+00:00,"@username ઝી 24 કલાક ગુજરાતી ચેનલ..આવા વાહિયાત સવાલ શા માટે પોસ્ટ કરે એ પણ ઓપશન C તરીકે રાખવુ જરૂરી છે.
        વાહિયાત સવાલ કરનાર ચેનલ પણ વાહિયાત જ છે.
😜",NutanHaresh,HOF,@username Zee 24 hours Gujarati channel.. why post such nonsense question should also be kept as option C.The channel asking stupid questions is also stupid.😜
guj065,2023-05-27 06:51:12+00:00,@username @username અઘરી નોટ છે આ... એકદમ મૂર્ખ છે બસ એ ભાઈને એ વાતની ખબર નથી ...😄,RajeshRohit25,HOF,@username @username This is a tough note... It's so stupid that bro doesn't know that...😄
guj066,2023-05-24 10:34:01+00:00,"આજે તોરણ અને તુલસી વગર નુ આંગણું,
છાપરા અને દેશી નળીયા વગરનું આંગણું,

નથી ફળીયુ  નથી ઓટલો નથી ચુલો ,
નથી  ચોકડી અને પડથાર વગર નુ આંગણું ,

નથી ઇ ગોખલા નથી ઓસરી એ ટોડલા ,
બળદ ગાડા અને ગાય વિનાનું આંગણું...

#હોંકારો 
#ખોંખારો
#અલગારી_આત્મા @url",paresh_boricha7,NOT,"Today, a courtyard without a pylon and tulsi, a courtyard without a chhapra and a country pipe, not a paliyu, not an oven, not a stove, not a courtyard without a choukdi and a padhar, not an e-gokhla, not an osari, a courtyard without a todla, bullock carts and cows... #होनकारो #Khonkharo#algari_atma @url"
guj067,2023-05-19 17:09:17+00:00,"@username નક્કી તારી આજુબાજુ મા પેહલા કોઈ અબ્દુલ રહ્યો હશે તારા જન્મ પેહલા 🤣🤣
નહિ તો આવી બકવાસ વાત તારા મો થી ના થાય 🤣🤣
તું જ હવે ભૂતકાળ મા જઈ ને પોતાની અસલિયત જોઈ લેજે 🙄",Flying_titlii,HOF,@username deciding on you before you have been abducted before you.
guj068,2023-05-25 13:09:33+00:00,અર્થ: - જ્યારે હું થોડું જાણતો હતો ત્યારે હાથીની જેમ મદાન્ધ બની‌ ગયો. તે વખતે 'હું સર્વજ્ઞ છું' એ (વિચારે) મારું મન ઘમંડી બન્યું. જ્યારે ડાહ્યા માણસો પાસેથી કંઈક (જ્ઞાન) પ્રાપ્ત થયું ત્યારે 'હું મૂર્ખ છું' એમ (વિચારતાં) મારું ઘમંડ તાવની જેમ ઊતરી ગયું. (૮),nirmalpathak,NOT,"Meaning: - When I knew little I became mad like an elephant.At that time 'I am omniscient' (thought) my mind became arrogant.When I received something (knowledge) from wise men, my arrogance (thinking) 'I am a fool' went down like a fever.(8)"
guj069,2023-05-26 12:34:34+00:00,@username @username @username નયન ભોશ મારી નો છે. ભડવો છે એક નંબર નો છક્કો.,chattansinh,HOF,@username @username @username Nayan Bhosh is my.There is a number of sixes.
guj070,2023-05-21 06:33:53+00:00,"જુઢો એ કાળિયો કહે મુજ વગર એને કોઈ ના ફાવે.
ગોપીઓ સંગ રાસ રમે જોને ભોળીયો રંગ છે કેવો ઓઢે?
બોલ સખી જરા કોને કોને ગામમાં એણે છે છોડ્યો?
કોઈની મટકી ફોડિ, ને માખણ ચોર છે બન્યો.
પાછો કહે મારે લઇ દિલ નો ધબકાર છે વધ્યો?
- ભૂમિકા",Mutradifalfaz,NOT,"Judo says he is black, no one will give him without permission. Play with the gopis, who has a light complexion, how is he? Who did he leave in the village? He broke someone's pot, and he became a butter thief. Come back, say I want to take it and have a heart beat.Grown?- role"
guj071,2023-03-26 06:10:17+00:00,@username ચોકીદાર ચોર.,JayeshV18085769,HOF,@username watchman thief.
